book_id,books_count,authors,original_publication_year,original_title,language_code,average_rating,ratings_count
2767052,272,Suzanne Collins,2008.0,The Hunger Games,eng,4.34,4780653
3,491,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,eng,4.44,4602479
2657,487,Harper Lee,1960.0,To Kill a Mockingbird,eng,4.25,3198671
4671,1356,F. Scott Fitzgerald,1925.0,The Great Gatsby,eng,3.89,2683664
11870085,226,John Green,2012.0,The Fault in Our Stars,eng,4.26,2346404
5907,969,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,en-US,4.25,2071616
5107,360,J.D. Salinger,1951.0,The Catcher in the Rye,eng,3.79,2044241
1885,3455,Jane Austen,1813.0,Pride and Prejudice,eng,4.24,2035490
960,311,Dan Brown,2000.0,Angels & Demons ,en-CA,3.85,2001311
48855,710,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,4.1,1972666
5470,995,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,eng,4.14,1956832
13335037,210,Veronica Roth,2011.0,Divergent,eng,4.24,1903563
7613,896,George Orwell,1945.0,Animal Farm: A Fairy Story,eng,3.87,1881700
5,376,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,eng,4.53,1832823
6148028,201,Suzanne Collins,2009.0,Catching Fire,eng,4.3,1831039
77203,283,Khaled Hosseini,2003.0,The Kite Runner ,eng,4.26,1813044
2429135,274,"Stieg Larsson, Reg Keeland",2005.0,Män som hatar kvinnor,eng,4.11,1808403
15881,398,"J.K. Rowling, Mary GrandPré",1998.0,Harry Potter and the Chamber of Secrets,eng,4.37,1779331
34,566,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,eng,4.34,1766803
6,332,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,eng,4.53,1753043
